image_name,label,final_state_label,deviated_score,mean_intensity
A - 1(fld 1 wv DAPI - DAPI),192,cluster1,0.0102215708534587,115.54054260253906
A - 1(fld 1 wv DAPI - DAPI),193,cluster1,0.0034467953501987,154.63015747070312
A - 1(fld 1 wv DAPI - DAPI),194,cluster1,0.0137119885262158,113.5909652709961
A - 1(fld 1 wv DAPI - DAPI),195,cluster1,3.518729377969934e-05,146.1604766845703
A - 1(fld 1 wv DAPI - DAPI),196,cluster1,1.1945495976162287e-05,146.6459197998047
A - 1(fld 1 wv DAPI - DAPI),197,cluster2,0.9972213420723396,115.51329040527344
A - 1(fld 1 wv DAPI - DAPI),198,cluster1,6.648145928766622e-07,141.85633850097656
A - 1(fld 1 wv DAPI - DAPI),199,cluster2,0.9428019778974376,109.50824737548828
A - 1(fld 1 wv DAPI - DAPI),200,cluster1,4.672145869404109e-07,147.09933471679688
A - 1(fld 1 wv DAPI - DAPI),201,cluster1,1.4169049066553805e-06,114.1783447265625
A - 1(fld 1 wv DAPI - DAPI),202,cluster1,0.0005246250248005,136.92213439941406
A - 1(fld 1 wv DAPI - DAPI),203,uncertain,0.3573811089996367,118.97972869873048
A - 1(fld 1 wv DAPI - DAPI),204,cluster1,0.0001013684537605,133.779052734375
A - 1(fld 1 wv DAPI - DAPI),205,cluster2,0.8166718467635247,123.5999984741211
A - 1(fld 1 wv DAPI - DAPI),206,cluster2,0.9845839091322895,128.48678588867188
A - 1(fld 1 wv DAPI - DAPI),207,cluster1,2.363772817046576e-05,163.31443786621094
A - 1(fld 1 wv DAPI - DAPI),208,cluster2,0.9991986017490108,111.49520111083984
A - 1(fld 1 wv DAPI - DAPI),209,cluster1,0.0001278606999199,153.8905029296875
A - 1(fld 1 wv DAPI - DAPI),210,cluster1,1.1172534900922511e-06,151.7980194091797
A - 1(fld 1 wv DAPI - DAPI),211,cluster1,0.3427377892586,118.08028411865234
A - 1(fld 1 wv DAPI - DAPI),212,cluster2,0.9999998141037838,108.7696304321289
A - 1(fld 1 wv DAPI - DAPI),213,cluster1,0.0105370673992963,137.9886932373047
A - 1(fld 1 wv DAPI - DAPI),214,cluster1,4.778700120377106e-06,148.18267822265625
A - 1(fld 1 wv DAPI - DAPI),215,cluster1,0.0011094929521959,154.93307495117188
A - 1(fld 1 wv DAPI - DAPI),216,cluster2,0.9982514841752984,118.17042541503906
A - 1(fld 1 wv DAPI - DAPI),217,cluster2,0.9960538428353976,114.80384063720705
A - 1(fld 1 wv DAPI - DAPI),218,cluster1,1.3408021626097796e-05,167.31350708007812
A - 1(fld 1 wv DAPI - DAPI),219,cluster1,4.732531425359189e-07,150.2394561767578
A - 1(fld 1 wv DAPI - DAPI),220,cluster2,0.999846657003761,116.31830596923828
A - 1(fld 1 wv DAPI - DAPI),221,cluster1,1.6827804238819564e-06,158.73953247070312
A - 1(fld 1 wv DAPI - DAPI),223,cluster2,0.9989524636136886,126.7669448852539
A - 1(fld 1 wv DAPI - DAPI),224,cluster1,0.2985366889159621,113.48936462402344
A - 1(fld 1 wv DAPI - DAPI),225,cluster1,0.0012983917817839,152.55015563964844
A - 1(fld 1 wv DAPI - DAPI),226,cluster1,2.3902381555960936e-07,150.28085327148438
A - 1(fld 1 wv DAPI - DAPI),227,cluster2,0.8650894383304621,117.86612701416016
A - 1(fld 1 wv DAPI - DAPI),228,cluster1,1.1568266740884515e-07,151.09091186523438
A - 1(fld 1 wv DAPI - DAPI),229,cluster1,0.1002648896920904,127.7106704711914
A - 1(fld 1 wv DAPI - DAPI),230,cluster1,4.507475104036144e-06,134.47557067871094
A - 1(fld 1 wv DAPI - DAPI),231,cluster2,0.9998986132531186,109.51587677001952
A - 1(fld 1 wv DAPI - DAPI),232,cluster2,0.92097269215943,112.57894897460938
A - 1(fld 1 wv DAPI - DAPI),233,cluster2,0.8514167500865724,116.48604583740234
A - 1(fld 1 wv DAPI - DAPI),234,cluster1,0.0087052343197434,144.1515655517578
A - 1(fld 1 wv DAPI - DAPI),235,cluster2,0.9974722395928116,113.83999633789062
A - 1(fld 1 wv DAPI - DAPI),236,cluster1,1.5685238252367657e-05,155.8727264404297
A - 1(fld 1 wv DAPI - DAPI),237,cluster1,1.776344563137632e-06,152.66139221191406
A - 1(fld 1 wv DAPI - DAPI),238,cluster2,0.999895010766643,112.4346923828125
A - 1(fld 1 wv DAPI - DAPI),239,cluster1,8.140471978649184e-06,164.3968505859375
A - 1(fld 1 wv DAPI - DAPI),240,uncertain,0.6389928428710708,115.0442352294922
A - 1(fld 1 wv DAPI - DAPI),241,cluster1,1.10211587161102e-05,150.19261169433594
A - 1(fld 1 wv DAPI - DAPI),242,cluster1,0.0341272020156365,142.14480590820312
A - 1(fld 1 wv DAPI - DAPI),243,cluster2,0.9987767610781912,114.44456481933594
A - 1(fld 1 wv DAPI - DAPI),244,cluster1,2.4940845216508326e-06,148.69879150390625
A - 1(fld 1 wv DAPI - DAPI),245,cluster2,0.9933040017555184,114.45472717285156
A - 1(fld 1 wv DAPI - DAPI),246,cluster2,0.9997231899585516,119.97818756103516
A - 1(fld 1 wv DAPI - DAPI),247,cluster1,3.1684206707985615e-07,163.1453857421875
A - 1(fld 1 wv DAPI - DAPI),248,cluster1,0.0003283897747824,141.70758056640625
A - 1(fld 1 wv DAPI - DAPI),249,cluster2,0.999813715445373,113.1688461303711
A - 1(fld 1 wv DAPI - DAPI),250,uncertain,0.552921805950939,132.20626831054688
A - 1(fld 1 wv DAPI - DAPI),251,cluster2,0.8014609945010809,114.3977508544922
A - 1(fld 1 wv DAPI - DAPI),252,cluster2,0.9999941028522622,125.5500030517578
A - 1(fld 1 wv DAPI - DAPI),253,cluster2,0.9999851268740606,120.70490264892578
A - 1(fld 1 wv DAPI - DAPI),254,cluster2,0.997777788903937,130.05076599121094
A - 1(fld 1 wv DAPI - DAPI),255,cluster1,0.0004755384466864,149.31521606445312
A - 1(fld 1 wv DAPI - DAPI),256,cluster1,8.16073775535279e-05,159.1893768310547
A - 1(fld 1 wv DAPI - DAPI),258,cluster2,0.9999065520790116,125.5082778930664
A - 1(fld 1 wv DAPI - DAPI),259,uncertain,0.58451715059542,125.85997009277344
A - 1(fld 1 wv DAPI - DAPI),260,cluster2,0.9997895676593648,113.965087890625
A - 1(fld 1 wv DAPI - DAPI),261,cluster1,8.201112996392255e-07,119.59580993652344
A - 1(fld 1 wv DAPI - DAPI),262,uncertain,0.546549084419532,115.6453857421875
A - 1(fld 1 wv DAPI - DAPI),263,cluster2,0.9996420249081804,121.72837829589844
A - 1(fld 1 wv DAPI - DAPI),264,cluster2,0.9954869823873728,126.6671905517578
A - 1(fld 1 wv DAPI - DAPI),265,cluster1,6.760846304253992e-06,152.92652893066406
